Tools,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers
2,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,6955336,1,OK,0.7170785,-0.4795846,-0.4987511,-0.0839309,92.388,-97.302,-161.931,0.0052031,0,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,6955336,1,OK,0.9436835,0.2736838,0.0527234,-0.1782664,-7.475,58.088,-259.751,0.0404738,0
2,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,6955344,1,OK,0.7170630,-0.4795080,-0.4988361,-0.0839956,92.392,-97.302,-161.937,0.0048764,0,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,6955344,1,OK,0.9437453,0.2729254,0.0528762,-0.1790550,-7.367,58.149,-259.641,0.0390046,0
2,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,6955352,1,OK,0.7170335,-0.4793908,-0.4989643,-0.0841551,92.397,-97.302,-161.942,0.0052000,0,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,6955352,1,OK,0.9437666,0.2723183,0.0536512,-0.1796354,-7.365,58.266,-259.446,0.0389518,0
2,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,6955360,1,OK,0.7170817,-0.4796571,-0.4987155,-0.0836998,92.411,-97.294,-161.975,0.0074203,0,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,6955360,1,OK,0.9439831,0.2714588,0.0538149,-0.1797496,-7.360,58.345,-259.109,0.0411457,0
2,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,6955368,1,OK,0.7170709,-0.4795593,-0.4988095,-0.0837934,92.416,-97.292,-161.986,0.0071565,0,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,6955368,1,OK,0.9441365,0.2713070,0.0533788,-0.1793028,-7.404,58.480,-259.030,0.0391463,0
2,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,6955376,1,OK,0.7170920,-0.4796149,-0.4987348,-0.0837387,92.408,-97.293,-161.985,0.0073396,0,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,6955376,1,OK,0.9443065,0.2712413,0.0527051,-0.1787054,-7.461,58.568,-258.900,0.0436812,0
2,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,6955384,1,OK,0.7170897,-0.4795905,-0.4987548,-0.0837798,92.413,-97.292,-161.996,0.0078837,0,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,6955384,1,OK,0.9444924,0.2709828,0.0516130,-0.1784336,-7.560,58.646,-258.778,0.0403182,0
2,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,6955392,1,OK,0.7170877,-0.4795216,-0.4988070,-0.0838794,92.410,-97.293,-162.000,0.0071621,0,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,6955392,1,OK,0.9446735,0.2704640,0.0506702,-0.1785323,-7.758,58.655,-258.693,0.0373994,0
2,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,6955400,1,OK,0.7171077,-0.4795093,-0.4987900,-0.0838800,92.403,-97.292,-162.004,0.0065925,0,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,6955400,1,OK,0.9445194,0.2707562,0.0497449,-0.1791637,-7.899,58.742,-258.621,0.0377836,0
2,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,6955408,1,OK,0.7170772,-0.4794365,-0.4988867,-0.0839819,92.409,-97.295,-162.005,0.0063207,0,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,6955408,1,OK,0.9446522,0.2708122,0.0488453,-0.1786256,-8.060,58.778,-258.604,0.0401900,0
2,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,6955416,1,OK,0.7170683,-0.4794234,-0.4989117,-0.0839840,92.410,-97.298,-162.011,0.0058157,0,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,6955416,1,OK,0.9448076,0.2703293,0.0485184,-0.1786244,-8.207,58.715,-258.547,0.0420195,0
2,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,6955424,1,OK,0.7170960,-0.4795067,-0.4988104,-0.0838739,92.407,-97.296,-162.019,0.0058277,0,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,6955424,1,OK,0.9451308,0.2703390,0.0477476,-0.1771013,-8.317,58.696,-258.459,0.0401395,0
2,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,6955432,1,OK,0.7171155,-0.4795559,-0.4987532,-0.0837659,92.407,-97.291,-162.026,0.0055061,0,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,6955432,1,OK,0.9451209,0.2705590,0.0474316,-0.1769026,-8.419,58.688,-258.523,0.0347687,0
2,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,6955440,1,OK,0.7170504,-0.4792741,-0.4990448,-0.0841979,92.404,-97.299,-161.999,0.0039930,0,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,6955440,1,OK,0.9449881,0.2706729,0.0471511,-0.1775120,-8.432,58.699,-258.571,0.0397507,0
2,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,6955448,1,OK,0.7170647,-0.4793840,-0.4989433,-0.0840524,92.404,-97.300,-161.997,0.0038988,0,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,6955448,1,OK,0.9449487,0.2706817,0.0470876,-0.1777250,-8.526,58.729,-258.536,0.0432176,0
2,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,6955456,1,OK,0.7170634,-0.4794044,-0.4989398,-0.0839675,92.414,-97.298,-162.015,0.0037284,0,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,6955456,1,OK,0.9447809,0.2706916,0.0478150,-0.1784065,-8.304,58.771,-258.481,0.0297609,0
2,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,6955464,1,OK,0.7170714,-0.4794090,-0.4989280,-0.0839431,92.412,-97.297,-162.021,0.0036297,0,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,6955464,1,OK,0.9448101,0.2707187,0.0480469,-0.1781483,-8.298,58.735,-258.524,0.0399531,0
2,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,6955472,1,OK,0.7170908,-0.4796355,-0.4987244,-0.0836930,92.415,-97.297,-162.008,0.0053532,0,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,6955472,1,OK,0.9448484,0.2707258,0.0477224,-0.1780213,-8.353,58.736,-258.520,0.0403846,0
2,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,6955480,1,OK,0.7170706,-0.4795982,-0.4987725,-0.0837934,92.417,-97.297,-161.989,0.0059393,0,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,6955480,1,OK,0.9448814,0.2707325,0.0475156,-0.1778914,-8.401,58.727,-258.537,0.0406668,0
2,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,6955488,1,OK,0.7170863,-0.4795666,-0.4987847,-0.0837666,92.415,-97.294,-162.009,0.0059449,0,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,6955488,1,OK,0.9449118,0.2707856,0.0473180,-0.1777016,-8.430,58.713,-258.561,0.0403033,0
2,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,6955496,1,OK,0.7170793,-0.4795485,-0.4988161,-0.0837437,92.421,-97.293,-162.023,0.0059665,0,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,6955496,1,OK,0.9448726,0.2709053,0.0472333,-0.1777499,-8.464,58.702,-258.599,0.0404970,0
2,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,6955504,1,OK,0.7170746,-0.4796182,-0.4987705,-0.0836566,92.422,-97.295,-162.014,0.0061395,0,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,6955504,1,OK,0.9447959,0.2710497,0.0471568,-0.1779579,-8.496,58.686,-258.640,0.0408636,0
2,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,6955512,1,OK,0.7170570,-0.4795883,-0.4988152,-0.0837122,92.425,-97.297,-162.012,0.0066640,0,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,6955512,1,OK,0.9447529,0.2712764,0.0469214,-0.1779030,-8.532,58.675,-258.692,0.0412785,0
2,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,6955520,1,OK,0.7170776,-0.4796460,-0.4987444,-0.0836265,92.427,-97.292,-162.026,0.0071565,0,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,6955520,1,OK,0.9443401,0.2729184,0.0450383,-0.1780697,-8.986,58.473,-259.157,0.0368889,0
2,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,6955528,1,OK,0.7170590,-0.4795102,-0.4988716,-0.0838064,92.432,-97.288,-162.037,0.0064732,0,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,6955528,1,OK,0.9445387,0.2732943,0.0433748,-0.1768486,-9.250,58.374,-259.261,0.0385075,0
2,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,6955536,1,OK,0.7170481,-0.4795864,-0.4988201,-0.0837700,92.436,-97.290,-162.019,0.0076013,0,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,6955536,1,OK,0.9446723,0.2735111,0.0421770,-0.1760880,-9.531,58.305,-259.409,0.0400287,0
2,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,6955544,1,OK,0.7170623,-0.4796314,-0.4987603,-0.0837471,92.431,-97.288,-162.001,0.0078473,0,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,6955544,1,OK,0.9444007,0.2739593,0.0416508,-0.1769713,-9.725,58.312,-259.436,0.0371728,0
2,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,6955552,1,OK,0.7170187,-0.4793212,-0.4990591,-0.0841151,92.433,-97.288,-162.013,0.0045620,0,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,6955552,1,OK,0.9441983,0.2743294,0.0413530,-0.1775467,-9.838,58.322,-259.429,0.0387268,0
2,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,6955560,1,OK,0.7170050,-0.4793463,-0.4990719,-0.0840126,92.445,-97.289,-162.038,0.0037702,0,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,6955560,1,OK,0.9441433,0.2744095,0.0413380,-0.1777186,-9.964,58.299,-259.432,0.0385461,0
2,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,6955568,1,OK,0.7170108,-0.4795047,-0.4989485,-0.0837921,92.449,-97.293,-162.038,0.0037610,0,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,6955568,1,OK,0.9439595,0.2742526,0.0416897,-0.1788518,-10.079,58.315,-259.370,0.0413645,0
2,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,6955576,1,OK,0.7170289,-0.4795232,-0.4989046,-0.0837927,92.440,-97.292,-162.024,0.0043880,0,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,6955576,1,OK,0.9440564,0.2742490,0.0414692,-0.1783965,-10.065,58.329,-259.397,0.0409957,0
2,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,6955584,1,OK,0.7170643,-0.4796129,-0.4987898,-0.0836597,92.436,-97.290,-162.030,0.0059198,0,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,6955584,1,OK,0.9440498,0.2739575,0.0420066,-0.1787530,-10.079,58.318,-259.350,0.0389710,0
2,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,6955592,1,OK,0.7170796,-0.4796607,-0.4987374,-0.0835668,92.438,-97.286,-162.035,0.0055101,0,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,6955592,1,OK,0.9442040,0.2740264,0.0421122,-0.1778059,-9.807,58.360,-259.333,0.0399639,0
2,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,6955600,1,OK,0.7170787,-0.4797125,-0.4987035,-0.0834794,92.440,-97.289,-162.035,0.0055593,0,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,6955600,1,OK,0.9441636,0.2740016,0.0419862,-0.1780881,-9.909,58.343,-259.329,0.0405493,0
2,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,6955608,1,OK,0.7170859,-0.4797609,-0.4986552,-0.0834283,92.436,-97.292,-162.024,0.0063402,0,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,6955608,1,OK,0.9440798,0.2739334,0.0420450,-0.1786226,-9.980,58.337,-259.322,0.0401165,0
2,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,6955616,1,OK,0.7170923,-0.4796931,-0.4986871,-0.0835730,92.420,-97.293,-162.000,0.0060301,0,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,6955616,1,OK,0.9440013,0.2738715,0.0422216,-0.1790902,-10.024,58.343,-259.288,0.0402986,0
2,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,6955624,1,OK,0.7170746,-0.4796439,-0.4987504,-0.0836287,92.423,-97.296,-162.008,0.0051306,0,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,6955624,1,OK,0.9439618,0.2737509,0.0424367,-0.1794317,-10.055,58.351,-259.249,0.0400066,0
2,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,6955632,1,OK,0.7170403,-0.4794207,-0.4989602,-0.0839503,92.417,-97.298,-162.000,0.0045009,0,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,6955632,1,OK,0.9439264,0.2735990,0.0426783,-0.1797920,-10.076,58.359,-259.215,0.0401755,0
2,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,6955640,1,OK,0.7170592,-0.4793785,-0.4989569,-0.0840497,92.403,-97.298,-161.989,0.0047259,0,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,6955640,1,OK,0.9438984,0.2734931,0.0429077,-0.1800450,-10.082,58.382,-259.190,0.0402107,0
2,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,6955648,1,OK,0.7170421,-0.4792587,-0.4990639,-0.0842433,92.402,-97.297,-161.982,0.0047963,0,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,6955648,1,OK,0.9438905,0.2733332,0.0431372,-0.1802743,-10.097,58.391,-259.158,0.0392775,0
2,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,6955656,1,OK,0.7170351,-0.4793148,-0.4990218,-0.0842330,92.406,-97.297,-161.973,0.0046472,0,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,6955656,1,OK,0.9438319,0.2732724,0.0433533,-0.1806214,-10.114,58.419,-259.116,0.0389100,0
2,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,6955664,1,OK,0.7170033,-0.4791286,-0.4992054,-0.0844753,92.406,-97.297,-161.974,0.0047500,0,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,6955664,1,OK,0.9438315,0.2732153,0.0434269,-0.1806921,-10.130,58.442,-259.091,0.0390717,0
2,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,6955672,1,OK,0.7170437,-0.4792948,-0.4990204,-0.0842819,92.397,-97.295,-161.967,0.0045521,0,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,6955672,1,OK,0.9438094,0.2731564,0.0434455,-0.1808916,-10.159,58.451,-259.078,0.0391326,0
