Tools,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers
2,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1924472,1,OK,0.6868605,-0.3787991,-0.5911745,-0.1877408,85.994,-106.331,-162.112,0.0018276,0,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1924472,1,OK,0.8541357,0.3686592,0.2286709,-0.2867964,-8.306,30.650,-311.815,0.0429149,0
2,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1924480,1,OK,0.6868956,-0.3789477,-0.5910865,-0.1875896,86.001,-106.328,-162.111,0.0011984,0,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1924480,1,OK,0.8541637,0.3685992,0.2287450,-0.2867311,-8.310,30.637,-311.808,0.0421514,0
2,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1924488,1,OK,0.6868610,-0.3788622,-0.5911450,-0.1877045,85.997,-106.330,-162.100,0.0009839,0,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1924488,1,OK,0.8540897,0.3685943,0.2288533,-0.2868714,-8.295,30.651,-311.825,0.0427761,0
2,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1924496,1,OK,0.6868225,-0.3787450,-0.5912182,-0.1878512,85.995,-106.331,-162.092,0.0014567,0,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1924496,1,OK,0.8541786,0.3686584,0.2287251,-0.2866266,-8.297,30.654,-311.809,0.0415680,0
2,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1924504,1,OK,0.6867936,-0.3786241,-0.5912960,-0.1879559,85.993,-106.333,-162.089,0.0026142,0,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1924504,1,OK,0.8542290,0.3686419,0.2285864,-0.2866080,-8.300,30.634,-311.818,0.0414010,0
2,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1924512,1,OK,0.6867752,-0.3785569,-0.5913380,-0.1880262,86.000,-106.331,-162.092,0.0013381,0,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1924512,1,OK,0.8542886,0.3686563,0.2283995,-0.2865612,-8.297,30.628,-311.814,0.0420459,0
2,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1924520,1,OK,0.6868089,-0.3786542,-0.5912737,-0.1879094,86.000,-106.331,-162.088,0.0013251,0,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1924520,1,OK,0.8542730,0.3686325,0.2284117,-0.2866283,-8.300,30.625,-311.808,0.0412581,0
2,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1924528,1,OK,0.6867907,-0.3786999,-0.5912670,-0.1879048,85.997,-106.337,-162.068,0.0014299,0,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1924528,1,OK,0.8542696,0.3686153,0.2284961,-0.2865933,-8.310,30.625,-311.858,0.0412163,0
2,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1924536,1,OK,0.6868049,-0.3786575,-0.5912729,-0.1879199,85.998,-106.330,-162.082,0.0017167,0,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1924536,1,OK,0.8542758,0.3686176,0.2285720,-0.2865113,-8.314,30.623,-311.862,0.0420975,0
2,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1924544,1,OK,0.6868163,-0.3787031,-0.5912499,-0.1878589,86.008,-106.326,-162.091,0.0017659,0,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1924544,1,OK,0.8542778,0.3686391,0.2286124,-0.2864456,-8.307,30.623,-311.841,0.0399687,0
