Tools,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,Port 11: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,703752,1,OK,0.7096858,0.2394920,0.0263453,-0.6620389,24.443,-1.398,-170.281,0.0390788,0,Port 11: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,703752,1,OK,0.8564473,0.4646058,-0.0606447,0.2167064,17.043,40.902,-242.918,0.0442769,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,703752,1,OK,0.7050232,-0.3997682,-0.5544932,-0.1888519,101.249,-117.107,-161.888,0.0055653,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,703760,1,OK,0.7098380,0.2394868,0.0263053,-0.6618793,24.345,-1.780,-169.832,0.0482476,0,Port 11: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,703760,1,OK,0.8566366,0.4643750,-0.0613650,0.2162498,16.834,40.951,-242.715,0.0474273,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,703760,1,OK,0.7049450,-0.3995218,-0.5546893,-0.1890891,101.257,-117.108,-161.898,0.0051198,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,703768,1,OK,0.7092138,0.2398474,0.0270418,-0.6623879,24.105,-2.103,-169.465,0.0461171,0,Port 11: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,703768,1,OK,0.8567509,0.4644669,-0.0617170,0.2154981,16.595,41.002,-242.761,0.0523708,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,703768,1,OK,0.7050011,-0.3996478,-0.5545880,-0.1889105,101.255,-117.115,-161.917,0.0059700,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,703776,1,OK,0.7105550,0.2408502,0.0262455,-0.6606163,23.822,-2.436,-169.207,0.0476074,0,Port 11: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,703776,1,OK,0.8567537,0.4643740,-0.0624089,0.2154878,16.318,40.910,-242.787,0.0465724,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,703776,1,OK,0.7049849,-0.3996245,-0.5546290,-0.1889004,101.259,-117.119,-161.924,0.0063263,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,703784,1,OK,0.7113955,0.2414456,0.0259934,-0.6595035,23.402,-2.788,-168.885,0.0437084,0,Port 11: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,703784,1,OK,0.8564571,0.4644151,-0.0634252,0.2162800,16.087,40.834,-242.785,0.0452683,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,703784,1,OK,0.7049755,-0.3996265,-0.5546366,-0.1889086,101.261,-117.117,-161.911,0.0059909,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,703792,1,OK,0.7107395,0.2426186,0.0263903,-0.6597644,22.976,-3.115,-168.630,0.0508016,0,Port 11: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,703792,1,OK,0.8564306,0.4643565,-0.0640890,0.2163151,15.955,40.717,-242.895,0.0463891,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,703792,1,OK,0.7049241,-0.3994394,-0.5547727,-0.1890965,101.261,-117.116,-161.920,0.0042816,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,703800,1,OK,0.7117616,0.2436072,0.0250722,-0.6583482,22.519,-3.452,-168.300,0.0445167,0,Port 11: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,703800,1,OK,0.8562862,0.4645316,-0.0641939,0.2164799,15.908,40.685,-242.913,0.0493866,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,703800,1,OK,0.7049720,-0.3995315,-0.5546753,-0.1890089,101.254,-117.116,-161.930,0.0055322,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,703808,1,OK,0.7129956,0.2447931,0.0242245,-0.6566025,22.028,-3.710,-167.947,0.0370895,0,Port 11: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,703808,1,OK,0.8561263,0.4645569,-0.0642480,0.2170411,15.916,40.736,-242.786,0.0469652,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,703808,1,OK,0.7049726,-0.3995740,-0.5546556,-0.1889748,101.260,-117.114,-161.924,0.0060978,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,703816,1,OK,0.7135180,0.2456938,0.0231140,-0.6557380,21.478,-3.931,-167.619,0.0395163,0,Port 11: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,703816,1,OK,0.8563281,0.4643938,-0.0638912,0.2166991,15.998,40.760,-242.753,0.0451550,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,703816,1,OK,0.7049396,-0.3994837,-0.5547274,-0.1890778,101.263,-117.112,-161.927,0.0044448,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,703824,1,OK,0.7133417,0.2459254,0.0227298,-0.6558564,20.942,-4.242,-167.332,0.0481729,0,Port 11: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,703824,1,OK,0.8563410,0.4645219,-0.0637365,0.2164190,16.064,40.794,-242.726,0.0451099,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,703824,1,OK,0.7050114,-0.3996180,-0.5545940,-0.1889179,101.259,-117.111,-161.919,0.0062803,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,703832,1,OK,0.7136825,0.2477083,0.0219419,-0.6548408,20.688,-4.516,-167.353,0.0490298,0,Port 11: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,703832,1,OK,0.8564018,0.4644642,-0.0634686,0.2163809,16.162,40.822,-242.767,0.0471741,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,703832,1,OK,0.7050969,-0.3998663,-0.5543977,-0.1886492,101.252,-117.111,-161.915,0.0074661,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,703840,1,OK,0.7142718,0.2483855,0.0226687,-0.6539164,20.499,-4.860,-167.373,0.0418561,0,Port 11: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,703840,1,OK,0.8563566,0.4645045,-0.0635933,0.2164369,16.105,40.784,-242.800,0.0462824,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,703840,1,OK,0.7050687,-0.3998573,-0.5544248,-0.1886942,101.252,-117.111,-161.902,0.0064638,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,703848,1,OK,0.7133580,0.2488542,0.0233522,-0.6547111,20.531,-5.255,-167.471,0.0389768,0,Port 11: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,703848,1,OK,0.8563234,0.4645605,-0.0636492,0.2164315,16.080,40.749,-242.820,0.0459135,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,703848,1,OK,0.7050151,-0.3997400,-0.5545280,-0.1888395,101.253,-117.110,-161.894,0.0049250,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,703856,1,OK,0.7137819,0.2494324,0.0232939,-0.6540308,20.579,-5.538,-167.528,0.0390813,0,Port 11: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,703856,1,OK,0.8562992,0.4646072,-0.0636357,0.2164311,16.086,40.730,-242.824,0.0460083,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,703856,1,OK,0.7050059,-0.3996701,-0.5545641,-0.1889155,101.246,-117.108,-161.893,0.0035023,0
