Tools,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,Port 10: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers
3,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1101040,1,OK,0.6817158,-0.3920275,-0.5815418,-0.2082959,87.808,-115.016,-161.946,0.0025402,0,Port 10: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,1101040,1,OK,0.8820388,0.4362534,-0.0836972,0.1571158,-5.591,36.089,-207.290,0.0437730,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1101040,1,OK,0.8796424,0.2591666,-0.0578546,-0.3946070,28.458,2.491,-189.182,0.0439220,0
3,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1101048,1,OK,0.6817568,-0.3921850,-0.5814443,-0.2081375,87.811,-115.015,-161.938,0.0025050,0,Port 10: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,1101048,1,OK,0.8819965,0.4362961,-0.0837239,0.1572204,-5.561,36.108,-207.254,0.0477497,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1101048,1,OK,0.8799441,0.2589473,-0.0580967,-0.3940425,28.444,2.534,-189.181,0.0438447,0
3,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1101056,1,OK,0.6817687,-0.3922091,-0.5814208,-0.2081186,87.812,-115.013,-161.937,0.0037111,0,Port 10: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,1101056,1,OK,0.8820398,0.4362579,-0.0836162,0.1571408,-5.595,36.033,-207.204,0.0513407,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1101056,1,OK,0.8802025,0.2587700,-0.0583169,-0.3935489,28.441,2.592,-189.186,0.0436263,0
3,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1101064,1,OK,0.6817970,-0.3922830,-0.5813727,-0.2080208,87.812,-115.015,-161.941,0.0057157,0,Port 10: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,1101064,1,OK,0.8820659,0.4362493,-0.0835232,0.1570672,-5.567,36.048,-207.180,0.0515210,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1101064,1,OK,0.8819353,0.2576068,-0.0594637,-0.3902473,28.492,2.535,-189.060,0.0745482,0
3,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1101072,1,OK,0.6818569,-0.3924364,-0.5812630,-0.2078414,87.814,-115.014,-161.954,0.0071234,0,Port 10: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,1101072,1,OK,0.8823312,0.4360657,-0.0830009,0.1563625,-5.473,36.172,-207.136,0.0466470,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1101072,1,OK,0.8823829,0.2573592,-0.0596159,-0.3893747,28.477,2.570,-189.061,0.0714361,0
3,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1101080,1,OK,0.6818201,-0.3923408,-0.5813307,-0.2079533,87.813,-115.014,-161.953,0.0074287,0,Port 10: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,1101080,1,OK,0.8823973,0.4359497,-0.0828747,0.1563800,-5.427,36.202,-207.098,0.0418706,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1101080,1,OK,0.8821446,0.2573561,-0.0598159,-0.3898855,28.491,2.612,-189.063,0.0695452,0
3,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1101088,1,OK,0.6817132,-0.3920642,-0.5815394,-0.2082421,87.819,-115.016,-161.954,0.0050050,0,Port 10: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,1101088,1,OK,0.8823688,0.4359488,-0.0828276,0.1565682,-5.379,36.242,-207.032,0.0379909,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1101088,1,OK,0.8824200,0.2572199,-0.0598738,-0.3893430,28.489,2.663,-189.045,0.0660295,0
3,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1101096,1,OK,0.6816920,-0.3920168,-0.5815805,-0.2082860,87.819,-115.019,-161.960,0.0053044,0,Port 10: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,1101096,1,OK,0.8823817,0.4358890,-0.0827457,0.1567051,-5.350,36.257,-206.991,0.0360352,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1101096,1,OK,0.8816009,0.2577179,-0.0594850,-0.3909257,28.449,2.904,-189.184,0.0452332,0
3,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1101104,1,OK,0.6816756,-0.3919852,-0.5816083,-0.2083211,87.822,-115.019,-161.967,0.0059254,0,Port 10: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,1101104,1,OK,0.8824963,0.4357663,-0.0825626,0.1564973,-5.317,36.259,-206.963,0.0351773,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1101104,1,OK,0.8818770,0.2574870,-0.0596794,-0.3904251,28.449,2.968,-189.187,0.0451195,0
3,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1101112,1,OK,0.6817017,-0.3920290,-0.5815553,-0.2083013,87.814,-115.020,-161.953,0.0065522,0,Port 10: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,1101112,1,OK,0.8825357,0.4357587,-0.0823425,0.1564124,-5.297,36.288,-206.909,0.0353515,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1101112,1,OK,0.8820551,0.2572676,-0.0598862,-0.3901357,28.458,3.023,-189.193,0.0456085,0
