Tools,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,Port 10: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers
3,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,8962952,1,OK,0.6944503,-0.4081634,-0.5753064,-0.1419996,99.361,-107.441,-162.154,0.0026163,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,8962952,1,OK,0.6092595,0.4738634,0.1515000,-0.6174983,5.400,-76.980,-243.539,0.0195568,0,Port 10: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,8962952,1,OK,0.6924624,0.5449728,-0.3161434,0.3515022,-15.176,-2.046,-304.574,0.0501865,0
3,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,8962960,1,OK,0.6944611,-0.4081274,-0.5753054,-0.1420544,99.358,-107.434,-162.164,0.0029891,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,8962960,1,OK,0.6092694,0.4739002,0.1515181,-0.6174558,5.399,-76.960,-243.542,0.0206096,0,Port 10: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,8962960,1,OK,0.6924629,0.5449956,-0.3161350,0.3514734,-15.174,-2.043,-304.585,0.0504030,0
3,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,8962968,1,OK,0.6944385,-0.4080910,-0.5753685,-0.1420143,99.373,-107.436,-162.177,0.0024191,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,8962968,1,OK,0.6092946,0.4738828,0.1514846,-0.6174525,5.400,-76.964,-243.544,0.0207658,0,Port 10: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,8962968,1,OK,0.6924645,0.5450248,-0.3161083,0.3514490,-15.180,-2.034,-304.596,0.0483471,0
3,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,8962976,1,OK,0.6944378,-0.4081644,-0.5753413,-0.1419171,99.383,-107.434,-162.177,0.0019907,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,8962976,1,OK,0.6092819,0.4739031,0.1515122,-0.6174427,5.397,-76.958,-243.539,0.0203642,0,Port 10: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,8962976,1,OK,0.6924307,0.5450512,-0.3161364,0.3514495,-15.165,-2.029,-304.584,0.0465079,0
3,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,8962984,1,OK,0.6944336,-0.4080913,-0.5753456,-0.1421300,99.362,-107.434,-162.143,0.0019128,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,8962984,1,OK,0.6091719,0.4738751,0.1515983,-0.6175516,5.392,-76.951,-243.535,0.0214168,0,Port 10: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,8962984,1,OK,0.6924359,0.5450263,-0.3161489,0.3514664,-15.181,-2.029,-304.599,0.0475559,0
3,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,8962992,1,OK,0.6943741,-0.4078132,-0.5755277,-0.1424811,99.360,-107.430,-162.134,0.0029676,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,8962992,1,OK,0.6091836,0.4738559,0.1515696,-0.6175619,5.404,-76.969,-243.539,0.0220302,0,Port 10: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,8962992,1,OK,0.6924530,0.5450394,-0.3161284,0.3514310,-15.179,-2.030,-304.573,0.0488041,0
3,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,8963000,1,OK,0.6943952,-0.4077891,-0.5754948,-0.1425801,99.343,-107.428,-162.116,0.0036830,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,8963000,1,OK,0.6092106,0.4739211,0.1515817,-0.6174821,5.410,-76.953,-243.542,0.0214329,0,Port 10: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,8963000,1,OK,0.6924833,0.5450746,-0.3160759,0.3513638,-15.185,-2.022,-304.565,0.0477506,0
3,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,8963008,1,OK,0.6944128,-0.4077446,-0.5754916,-0.1426346,99.332,-107.424,-162.118,0.0041490,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,8963008,1,OK,0.6092083,0.4738757,0.1515823,-0.6175192,5.405,-76.961,-243.545,0.0216301,0,Port 10: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,8963008,1,OK,0.6924222,0.5450682,-0.3161623,0.3514165,-15.181,-2.011,-304.550,0.0498709,0
3,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,8963016,1,OK,0.6943651,-0.4075750,-0.5756353,-0.1427713,99.341,-107.427,-162.137,0.0059530,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,8963016,1,OK,0.6094262,0.4738767,0.1513635,-0.6173570,5.406,-76.996,-243.545,0.0206272,0,Port 10: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,8963016,1,OK,0.6924271,0.5450735,-0.3161363,0.3514221,-15.176,-2.015,-304.563,0.0505304,0
3,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,8963024,1,OK,0.6943486,-0.4075435,-0.5756697,-0.1428028,99.346,-107.427,-162.142,0.0068476,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,8963024,1,OK,0.6094888,0.4739201,0.1513111,-0.6172748,5.391,-76.980,-243.539,0.0209452,0,Port 10: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,8963024,1,OK,0.6924261,0.5450704,-0.3161557,0.3514113,-15.165,-2.018,-304.565,0.0500530,0
