Tools,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers
2,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,840832,1,OK,0.8536764,0.3537858,0.2614570,-0.2787695,-2.278,23.137,-310.196,0.0353126,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,840832,1,OK,0.6824948,-0.3887859,-0.5834043,-0.2066055,86.898,-115.278,-161.920,0.0026999,0
2,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,840840,1,OK,0.8536069,0.3537215,0.2615672,-0.2789605,-2.284,23.134,-310.202,0.0355756,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,840840,1,OK,0.6825393,-0.3889307,-0.5832898,-0.2065090,86.888,-115.276,-161.901,0.0027043,0
2,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,840848,1,OK,0.8535760,0.3538362,0.2615593,-0.2789170,-2.301,23.172,-310.162,0.0358330,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,840848,1,OK,0.6824591,-0.3886870,-0.5834565,-0.2067622,86.890,-115.277,-161.909,0.0036864,0
2,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,840856,1,OK,0.8541263,0.3541796,0.2598327,-0.2784097,-2.433,23.149,-310.116,0.0463530,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,840856,1,OK,0.6823615,-0.3883658,-0.5836730,-0.2070763,86.893,-115.276,-161.929,0.0058839,0
2,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,840864,1,OK,0.8578460,0.3570902,0.2492763,-0.2728519,-3.087,23.095,-309.915,0.0523553,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,840864,1,OK,0.6823609,-0.3883530,-0.5836807,-0.2070809,86.891,-115.276,-161.927,0.0069225,0
2,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,840872,1,OK,0.8601646,0.3597890,0.2416037,-0.2688797,-3.505,23.148,-310.066,0.0399827,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,840872,1,OK,0.6823650,-0.3884139,-0.5836714,-0.2069790,86.901,-115.279,-161.933,0.0056615,0
2,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,840880,1,OK,0.8617530,0.3617247,0.2365732,-0.2656505,-3.746,23.204,-309.971,0.0572354,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,840880,1,OK,0.6824202,-0.3885799,-0.5835561,-0.2068108,86.903,-115.279,-161.937,0.0033737,0
2,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,840888,1,OK,0.8616087,0.3613694,0.2365434,-0.2666267,-3.701,23.099,-309.965,0.0408326,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,840888,1,OK,0.6824020,-0.3884792,-0.5836146,-0.2068947,86.899,-115.282,-161.944,0.0055506,0
2,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,840896,1,OK,0.8603612,0.3602536,0.2410698,-0.2681069,-3.429,23.122,-309.992,0.0495141,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,840896,1,OK,0.6823949,-0.3884732,-0.5836357,-0.2068699,86.904,-115.284,-161.953,0.0057289,0
2,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,840904,1,OK,0.8593617,0.3590778,0.2440178,-0.2702146,-3.093,23.291,-309.785,0.0515124,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,840904,1,OK,0.6824202,-0.3885767,-0.5835637,-0.2067950,86.903,-115.283,-161.941,0.0054899,0
