Tools,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,Port 10: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers
3,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,7338200,1,OK,0.7124210,-0.4195122,-0.5429678,-0.1471456,95.556,-103.641,-162.147,0.0045270,0,Port 10: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,7338200,1,OK,0.8761478,0.4190656,-0.1151263,0.2085547,-7.509,52.330,-215.162,0.0446225,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,7338200,1,OK,0.7578166,0.2599967,-0.0565746,-0.5957475,14.569,15.467,-190.923,0.0358593,0
3,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,7338208,1,OK,0.7124507,-0.4196517,-0.5428773,-0.1469379,95.566,-103.638,-162.162,0.0051894,0,Port 10: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,7338208,1,OK,0.8761408,0.4190458,-0.1151644,0.2086026,-7.458,52.294,-215.266,0.0378264,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,7338208,1,OK,0.7575001,0.2595007,-0.0564398,-0.5963787,14.578,15.631,-190.754,0.0388703,0
3,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,7338216,1,OK,0.7124325,-0.4196458,-0.5429071,-0.1469326,95.575,-103.637,-162.167,0.0051457,0,Port 10: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,7338216,1,OK,0.8758958,0.4191149,-0.1155883,0.2092573,-7.525,52.240,-215.246,0.0439534,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,7338216,1,OK,0.7586830,0.2589375,-0.0576173,-0.5950056,14.548,15.771,-190.658,0.0350419,0
3,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,7338224,1,OK,0.7125020,-0.4198889,-0.5426992,-0.1466690,95.571,-103.636,-162.163,0.0068263,0,Port 10: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,7338224,1,OK,0.8759518,0.4190623,-0.1155091,0.2091717,-7.522,52.255,-215.233,0.0441470,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,7338224,1,OK,0.7590678,0.2584012,-0.0578372,-0.5947267,14.527,15.910,-190.596,0.0373179,0
3,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,7338232,1,OK,0.7124785,-0.4198162,-0.5427584,-0.1467720,95.567,-103.637,-162.156,0.0064083,0,Port 10: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,7338232,1,OK,0.8759924,0.4190080,-0.1154363,0.2091508,-7.511,52.269,-215.212,0.0442434,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,7338232,1,OK,0.7592632,0.2582049,-0.0581597,-0.5945309,14.560,15.915,-190.650,0.0399450,0
3,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,7338240,1,OK,0.7124269,-0.4196748,-0.5428887,-0.1469449,95.573,-103.637,-162.165,0.0050946,0,Port 10: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,7338240,1,OK,0.8760632,0.4189825,-0.1152983,0.2089813,-7.499,52.277,-215.201,0.0441697,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,7338240,1,OK,0.7584519,0.2579470,-0.0579427,-0.5956984,14.572,15.912,-190.604,0.0377401,0
3,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,7338248,1,OK,0.7123820,-0.4195333,-0.5430063,-0.1471324,95.573,-103.638,-162.153,0.0043641,0,Port 10: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,7338248,1,OK,0.8761236,0.4189803,-0.1151639,0.2088067,-7.490,52.291,-215.197,0.0442602,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,7338248,1,OK,0.7583910,0.2584014,-0.0577195,-0.5956007,14.584,15.899,-190.745,0.0393658,0
3,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,7338256,1,OK,0.7124546,-0.4196890,-0.5428523,-0.1469047,95.567,-103.633,-162.153,0.0046155,0,Port 10: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,7338256,1,OK,0.8761508,0.4189814,-0.1150819,0.2087356,-7.484,52.304,-215.204,0.0440854,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,7338256,1,OK,0.7585128,0.2590035,-0.0574918,-0.5952060,14.542,15.694,-190.812,0.0382203,0
3,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,7338264,1,OK,0.7125288,-0.4198180,-0.5427118,-0.1466951,95.558,-103.628,-162.160,0.0056589,0,Port 10: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,7338264,1,OK,0.8761753,0.4190191,-0.1149864,0.2086095,-7.481,52.316,-215.214,0.0439352,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,7338264,1,OK,0.7595546,0.2585794,-0.0577373,-0.5940370,14.855,15.946,-191.201,0.0366419,0
3,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,7338272,1,OK,0.7125122,-0.4197601,-0.5427617,-0.1467571,95.567,-103.624,-162.165,0.0056472,0,Port 10: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,7338272,1,OK,0.8761919,0.4190656,-0.1149394,0.2084724,-7.485,52.325,-215.229,0.0440887,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,7338272,1,OK,0.7594052,0.2590919,-0.0569071,-0.5940848,15.152,15.906,-191.578,0.0324600,0
