Tools,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,Port 11: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,785848,1,OK,0.7033751,0.2880271,0.0012191,-0.6498480,1.877,-17.603,-168.321,0.0373433,0,Port 11: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,785848,1,OK,0.8820741,0.4320321,-0.0691537,0.1746748,1.704,59.289,-241.457,0.0459513,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,785848,1,OK,0.7049090,-0.3987563,-0.5530329,-0.1955794,100.343,-119.945,-161.902,0.0049768,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,785856,1,OK,0.7025418,0.2877451,0.0025260,-0.6508697,2.385,-17.774,-168.361,0.0419617,0,Port 11: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,785856,1,OK,0.8821383,0.4319070,-0.0690606,0.1746970,1.727,59.322,-241.415,0.0461705,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,785856,1,OK,0.7049176,-0.3987958,-0.5530090,-0.1955358,100.347,-119.947,-161.902,0.0046799,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,785864,1,OK,0.7029491,0.2870463,0.0038688,-0.6507319,2.868,-17.765,-168.153,0.0381931,0,Port 11: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,785864,1,OK,0.8821592,0.4317741,-0.0690591,0.1749205,1.764,59.342,-241.383,0.0459321,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,785864,1,OK,0.7048725,-0.3987140,-0.5531066,-0.1955888,100.361,-119.949,-161.921,0.0050918,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,785872,1,OK,0.7021591,0.2863344,0.0051499,-0.6518885,3.367,-17.667,-167.916,0.0373950,0,Port 11: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,785872,1,OK,0.8821663,0.4316834,-0.0690277,0.1751206,1.815,59.363,-241.370,0.0457624,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,785872,1,OK,0.7048325,-0.3985896,-0.5532022,-0.1957161,100.358,-119.949,-161.921,0.0049158,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,785880,1,OK,0.7008770,0.2854348,0.0064770,-0.6536486,3.736,-17.655,-167.571,0.0352359,0,Port 11: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,785880,1,OK,0.8821816,0.4316402,-0.0689164,0.1751942,1.862,59.381,-241.366,0.0462876,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,785880,1,OK,0.7048331,-0.3985731,-0.5532074,-0.1957329,100.361,-119.943,-161.921,0.0043230,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,785888,1,OK,0.6999153,0.2846923,0.0079859,-0.6549848,4.060,-17.505,-167.317,0.0386910,0,Port 11: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,785888,1,OK,0.8821732,0.4315848,-0.0688206,0.1754100,1.918,59.392,-241.352,0.0461134,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,785888,1,OK,0.7047871,-0.3984665,-0.5532821,-0.1959044,100.361,-119.938,-161.910,0.0059970,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,785896,1,OK,0.7029843,0.2840258,0.0056591,-0.6520048,4.312,-17.341,-167.134,0.0343575,0,Port 11: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,785896,1,OK,0.8821338,0.4315613,-0.0687569,0.1756912,1.994,59.399,-241.348,0.0461637,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,785896,1,OK,0.7047823,-0.3984518,-0.5532816,-0.1959529,100.355,-119.935,-161.886,0.0063100,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,785904,1,OK,0.7039173,0.2823774,0.0056453,-0.6517143,4.594,-17.091,-166.875,0.0323607,0,Port 11: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,785904,1,OK,0.8820886,0.4316002,-0.0686306,0.1758716,2.074,59.409,-241.347,0.0464326,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,785904,1,OK,0.7048309,-0.3986205,-0.5531457,-0.1958184,100.343,-119.933,-161.857,0.0047431,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,785912,1,OK,0.7056577,0.2810853,0.0050863,-0.6503941,4.869,-16.652,-166.502,0.0333115,0,Port 11: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,785912,1,OK,0.8820821,0.4315736,-0.0680953,0.1761771,2.184,59.344,-241.305,0.0662061,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,785912,1,OK,0.7048968,-0.3988004,-0.5530051,-0.1956121,100.338,-119.936,-161.851,0.0030689,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,785920,1,OK,0.7062362,0.2802994,0.0051715,-0.6501045,5.031,-16.315,-166.117,0.0334713,0,Port 11: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,785920,1,OK,0.8820839,0.4317698,-0.0677282,0.1758284,2.264,59.344,-241.309,0.0644046,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,785920,1,OK,0.7049891,-0.3990521,-0.5528054,-0.1953305,100.332,-119.940,-161.853,0.0032893,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,785928,1,OK,0.7059879,0.2800431,0.0046487,-0.6504885,5.097,-16.393,-166.029,0.0310876,0,Port 11: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,785928,1,OK,0.8819748,0.4316723,-0.0682097,0.1764284,2.322,59.401,-241.345,0.0468247,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,785928,1,OK,0.7050267,-0.3991219,-0.5527539,-0.1951976,100.337,-119.942,-161.874,0.0039484,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,785936,1,OK,0.7057039,0.2799588,0.0052759,-0.6508282,5.087,-16.438,-166.041,0.0421977,0,Port 11: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,785936,1,OK,0.8819012,0.4316920,-0.0681928,0.1767541,2.399,59.389,-241.357,0.0466975,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,785936,1,OK,0.7050271,-0.3991327,-0.5527500,-0.1951852,100.332,-119.942,-161.871,0.0032812,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,785944,1,OK,0.7113096,0.2794519,0.0039395,-0.6449261,5.583,-16.346,-166.058,0.0385335,0,Port 11: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,785944,1,OK,0.8818349,0.4317794,-0.0681063,0.1769047,2.465,59.381,-241.358,0.0468100,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,785944,1,OK,0.7050712,-0.3992138,-0.5526677,-0.1950933,100.327,-119.942,-161.870,0.0036358,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,785952,1,OK,0.7161013,0.2786836,0.0024415,-0.6399440,6.060,-16.219,-165.850,0.0326074,0,Port 11: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,785952,1,OK,0.8817770,0.4318941,-0.0679697,0.1769658,2.516,59.365,-241.361,0.0472390,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,785952,1,OK,0.7051347,-0.3993825,-0.5525151,-0.1949506,100.327,-119.939,-161.873,0.0051297,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,785960,1,OK,0.7171776,0.2780768,0.0026611,-0.6390011,6.331,-16.314,-165.615,0.0344883,0,Port 11: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,785960,1,OK,0.8816893,0.4319716,-0.0679533,0.1772199,2.570,59.339,-241.364,0.0468032,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,785960,1,OK,0.7050807,-0.3992267,-0.5526313,-0.1951357,100.323,-119.940,-161.875,0.0044263,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,785968,1,OK,0.7178070,0.2777173,0.0039082,-0.6384441,6.560,-16.488,-165.421,0.0370992,0,Port 11: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,785968,1,OK,0.8815877,0.4320884,-0.0679338,0.1774479,2.617,59.315,-241.382,0.0466923,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,785968,1,OK,0.7050309,-0.3991220,-0.5527358,-0.1952335,100.332,-119.941,-161.879,0.0044523,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,785976,1,OK,0.7189985,0.2774280,0.0039839,-0.6372275,6.903,-16.642,-165.314,0.0414776,0,Port 11: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,785976,1,OK,0.8815001,0.4321936,-0.0678808,0.1776469,2.670,59.284,-241.408,0.0468787,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,785976,1,OK,0.7049635,-0.3989207,-0.5528837,-0.1954695,100.333,-119.941,-161.886,0.0048328,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,785984,1,OK,0.7203910,0.2769790,0.0040717,-0.6358481,7.346,-16.741,-165.176,0.0391500,0,Port 11: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,785984,1,OK,0.8807333,0.4328181,-0.0681430,0.1798163,2.970,59.099,-241.504,0.0477754,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,785984,1,OK,0.7049590,-0.3988678,-0.5529085,-0.1955234,100.326,-119.945,-161.888,0.0052475,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,785992,1,OK,0.7203260,0.2761286,0.0049652,-0.6362852,7.800,-16.849,-165.082,0.0379449,0,Port 11: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,785992,1,OK,0.8807168,0.4333508,-0.0672449,0.1789502,3.150,59.073,-241.458,0.0486772,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,785992,1,OK,0.7050131,-0.3990698,-0.5527604,-0.1953350,100.320,-119.948,-161.884,0.0050185,0
