Tools	Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	Frame	Face	State	Angle	Latitude	Longitude	Spin	Tx	Ty	Tz	Error	Markers	Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	Frame	Face	State	Angle	Latitude	Longitude	Spin	Tx	Ty	Tz	Error	Markers	Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0	Frame	Face	State	Angle	Latitude	Longitude	Spin	Tx	Ty	Tz	Error	Markers	Port 13: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0	Frame	Face	State	Angle	Latitude	Longitude	Spin	Tx	Ty	Tz	Error	Markers
4	Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	1592312	1	OK	49.8374889	12.0049089	48.7475057	7.0476618	28.525	-9.208	-215.158	0.0472576	0	Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	1592312	1	OK	51.0832355	14.2350429	49.6022297	-14.5315889	21.674	-6.454	-215.081	0.0204030	0	Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0	1592312	1	OK	56.0211383	-14.7166570	54.7009716	47.1174227	-39.413	-20.470	-215.218	0.0590260	0	Port 13: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0	1592312	1	Bad Fit	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0
4	Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	1592328	1	OK	49.8567495	11.9966459	48.7690610	6.9603029	28.521	-9.196	-215.137	0.0494429	0	Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	1592328	1	OK	51.0875466	14.2362625	49.6065104	-14.5953380	21.682	-6.454	-215.082	0.0196941	0	Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0	1592328	1	OK	56.0283103	-14.7127550	54.7092312	47.1047506	-39.399	-20.524	-215.208	0.0593006	0	Port 13: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0	1592328	1	Bad Fit	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0
4	Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	1592336	1	OK	49.8703687	11.9922942	48.7840232	6.9081779	28.520	-9.182	-215.133	0.0498012	0	Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	1592336	1	OK	51.0917656	14.2389856	49.6103695	-14.6353974	21.687	-6.453	-215.080	0.0197534	0	Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0	1592336	1	OK	56.0363091	-14.7114008	54.7178852	47.1063186	-39.392	-20.553	-215.201	0.0594975	0	Port 13: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0	1592336	1	Bad Fit	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0
4	Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	1592352	1	OK	49.8791089	11.9841536	48.7946187	6.8142016	28.511	-9.189	-215.129	0.0501932	0	Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	1592352	1	OK	51.0975993	14.2445377	49.6153198	-14.7169626	21.697	-6.450	-215.067	0.0195150	0	Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0	1592352	1	OK	56.0441138	-14.7102197	54.7263030	47.1012995	-39.383	-20.615	-215.188	0.0589163	0	Port 13: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0	1592352	1	Bad Fit	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0
4	Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	1592360	1	OK	49.8927523	11.9806279	48.8094495	6.7557792	28.508	-9.178	-215.124	0.0512219	0	Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	1592360	1	OK	51.1034513	14.2430173	49.6218164	-14.7617066	21.698	-6.441	-215.069	0.0196166	0	Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0	1592360	1	OK	56.0459036	-14.7096548	54.7282880	47.1030146	-39.377	-20.648	-215.178	0.0582004	0	Port 13: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0	1592360	1	Bad Fit	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0
4	Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	1592368	1	OK	49.9003062	11.9774592	48.8178861	6.7231686	28.507	-9.168	-215.131	0.0505969	0	Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	1592368	1	OK	51.1093342	14.2409943	49.6284539	-14.8126582	21.698	-6.432	-215.055	0.0192679	0	Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0	1592368	1	OK	56.0512138	-14.7127027	54.7333000	47.0865671	-39.378	-20.679	-215.182	0.0588021	0	Port 13: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0	1592368	1	Bad Fit	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0
4	Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	1592384	1	OK	49.8945215	11.9721133	48.8128682	6.6201374	28.498	-9.194	-215.150	0.0489222	0	Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	1592384	1	OK	51.1024045	14.2466406	49.6199307	-14.9128627	21.706	-6.437	-215.052	0.0196921	0	Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0	1592384	1	OK	56.0512744	-14.7134365	54.7332275	47.0724926	-39.380	-20.772	-215.180	0.0590810	0	Port 13: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0	1592384	1	Bad Fit	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0
4	Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	1592392	1	OK	49.8959042	11.9766543	48.8134620	6.5571387	28.508	-9.204	-215.184	0.0481929	0	Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	1592392	1	OK	51.0957754	14.2447023	49.6133616	-14.9679701	21.708	-6.440	-215.055	0.0199917	0	Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0	1592392	1	OK	56.0606533	-14.7082708	54.7440381	47.0619265	-39.367	-20.796	-215.163	0.0586514	0	Port 13: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0	1592392	1	Bad Fit	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0
4	Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	1592400	1	OK	49.8910330	11.9763534	48.8084568	6.5054882	28.508	-9.217	-215.202	0.0478793	0	Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	1592400	1	OK	51.0888534	14.2456709	49.6058561	-15.0294382	21.714	-6.445	-215.050	0.0202710	0	Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0	1592400	1	OK	56.0682912	-14.7066731	54.7523573	47.0470567	-39.364	-20.827	-215.156	0.0588571	0	Port 13: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0	1592400	1	Bad Fit	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0
4	Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	1592408	1	OK	49.8863934	11.9735491	48.8041570	6.4501715	28.510	-9.232	-215.223	0.0473145	0	Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	1592408	1	OK	51.0795215	14.2394801	49.5973567	-15.0743399	21.713	-6.449	-215.053	0.0212038	0	Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0	1592408	1	OK	56.0698035	-14.7055812	54.7541483	47.0488716	-39.366	-20.867	-215.153	0.0592558	0	Port 13: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0	1592408	1	Bad Fit	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0
4	Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	1592424	1	OK	49.8729380	11.9509540	48.7943693	6.3565536	28.510	-9.285	-215.277	0.0472482	0	Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0	1592424	1	OK	51.0579956	14.2287384	49.5769877	-15.1800334	21.736	-6.497	-215.080	0.0218034	0	Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0	1592424	1	OK	56.0752469	-14.6948683	54.7618513	46.9961770	-39.353	-20.913	-215.141	0.0616500	0	Port 13: NDI-MF2 610016 T6a0-L00018  s/n:38C3F80A Channel:0	1592424	1	Bad Fit	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0
