Tools,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,Port 11: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,194696,1,OK,0.8753404,0.2423774,-0.0740272,-0.4117674,10.980,-8.549,-157.632,0.0388710,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,194696,1,OK,0.6807946,-0.3601797,-0.6091962,-0.1888634,93.172,-107.722,-162.113,0.0030477,0,Port 11: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,194696,1,OK,0.8833753,0.4236936,-0.1035039,0.1715191,-11.267,49.812,-233.919,0.0473831,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,194704,1,OK,0.8753275,0.2423759,-0.0740420,-0.4117931,10.979,-8.553,-157.637,0.0390237,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,194704,1,OK,0.6808210,-0.3603097,-0.6091482,-0.1886747,93.180,-107.727,-162.120,0.0023180,0,Port 11: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,194704,1,OK,0.8833921,0.4236983,-0.1035231,0.1714093,-11.278,49.814,-233.922,0.0477586,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,194712,1,OK,0.8752682,0.2423882,-0.0740345,-0.4119131,10.979,-8.553,-157.639,0.0392762,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,194712,1,OK,0.6807660,-0.3602109,-0.6092312,-0.1887938,93.179,-107.730,-162.110,0.0035508,0,Port 11: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,194712,1,OK,0.8833666,0.4236778,-0.1036090,0.1715395,-11.299,49.820,-233.929,0.0476999,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,194720,1,OK,0.8752656,0.2423941,-0.0740552,-0.4119114,10.979,-8.554,-157.637,0.0392326,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,194720,1,OK,0.6807890,-0.3602698,-0.6091928,-0.1887223,93.180,-107.727,-162.115,0.0035411,0,Port 11: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,194720,1,OK,0.8833521,0.4236567,-0.1036887,0.1716179,-11.313,49.826,-233.933,0.0476526,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,194728,1,OK,0.8752527,0.2424000,-0.0739873,-0.4119476,10.978,-8.551,-157.625,0.0394124,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,194728,1,OK,0.6808520,-0.3604274,-0.6090734,-0.1885794,93.178,-107.720,-162.122,0.0026328,0,Port 11: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,194728,1,OK,0.8833218,0.4236241,-0.1038023,0.1717855,-11.314,49.831,-233.929,0.0476211,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,194736,1,OK,0.8752747,0.2424355,-0.0740321,-0.4118720,10.979,-8.552,-157.633,0.0390430,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,194736,1,OK,0.6808839,-0.3605583,-0.6090040,-0.1884384,93.182,-107.721,-162.125,0.0018020,0,Port 11: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,194736,1,OK,0.8833032,0.4236234,-0.1038424,0.1718589,-11.321,49.836,-233.929,0.0477527,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,194744,1,OK,0.8752418,0.2424784,-0.0740569,-0.4119122,10.980,-8.550,-157.643,0.0391257,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,194744,1,OK,0.6808461,-0.3605010,-0.6090491,-0.1885386,93.183,-107.723,-162.112,0.0015150,0,Port 11: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,194744,1,OK,0.8832788,0.4236197,-0.1039202,0.1719459,-11.332,49.846,-233.927,0.0479645,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,194752,1,OK,0.8752392,0.2424748,-0.0740175,-0.4119268,10.978,-8.551,-157.631,0.0397869,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,194752,1,OK,0.6808348,-0.3603860,-0.6090990,-0.1886379,93.184,-107.717,-162.124,0.0021146,0,Port 11: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,194752,1,OK,0.8832387,0.4235598,-0.1040913,0.1721962,-11.344,49.847,-233.919,0.0479575,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,194760,1,OK,0.8752993,0.2424885,-0.0740232,-0.4117899,10.980,-8.550,-157.624,0.0394988,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,194760,1,OK,0.6808638,-0.3603772,-0.6090713,-0.1886396,93.171,-107.716,-162.130,0.0018919,0,Port 11: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,194760,1,OK,0.8832030,0.4234936,-0.1042793,0.1724283,-11.362,49.847,-233.908,0.0477528,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,194768,1,OK,0.8753442,0.2424935,-0.0741351,-0.4116715,10.978,-8.552,-157.628,0.0395553,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,194768,1,OK,0.6808012,-0.3602423,-0.6091765,-0.1887832,93.175,-107.719,-162.128,0.0037579,0,Port 11: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,194768,1,OK,0.8831497,0.4234631,-0.1044719,0.1726594,-11.391,49.852,-233.904,0.0475121,0
