Tools,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,Frame,Face,State,Angle,Latitude,Longitude,Spin,Tx,Ty,Tz,Error,Markers
1,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1944920,1,Bad Fit,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
1,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1944928,1,Bad Fit,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
1,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1944936,1,Bad Fit,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
1,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1944952,1,Bad Fit,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
1,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1944960,1,Bad Fit,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
1,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1944976,1,Bad Fit,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
1,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1944984,1,Bad Fit,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
1,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1944992,1,Bad Fit,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
1,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1945008,1,Bad Fit,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
1,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1945016,1,Bad Fit,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
1,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1945024,1,Bad Fit,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
1,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1945040,1,Bad Fit,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
1,Port 13: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1945048,1,Bad Fit,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,-3.697314E28,0.0000000,0
